status,zxloanbalanceamt,zxcrecardacctnowtotaldelqamt,zxrcy3mcrecardquerycnt,zxissubankcnt,zxcreditcarddelqstatus24months,zxaccountcnt,zxcrecardnowshouldpayamt,zxcreditcarddelqstatus30dayyues,zxrcy6mavgusecreditamt,zxrcy6mcrecardquerycompanycnt,zxusecreditamt,zxfirstcrecarddate,zxcrecardusecreditrate,zxcreditbal,zxcreditcarddelqstatus60to90days,zxcreditcarddelqstatus30to60days,zxrcy6mcrecardquerycnt,zxcreditcarddelqstatus6to12month,zxcreditcarddelqstatus90to180day,zxcreditcardaccudelqcnt,zxrcy24mcrecardmaxdelqperiod,zxrcy12mcrecardmaxdelqperiod,zxrcy6mcrecardmaxdelqperiod,zxrcyquerydate
0,1800,0,0,1,*,1,0,*,0,0,0,42690,0,0,*,*,0,N,*,0,0,0,0,43163.52402
0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
0,-9999,0,1,3,N,3,2911,N,24192,1,47324,39923,0.3558,47324,N,N,1,N,N,3,0,0,0,43228.31801
0,57891,0,0,8,N,18,82037,N,326359,0,326925,38555,0.8941,326925,N,N,0,N,1,3,1,1,1,43171.65022
0,44999,0,0,6,N,8,13878,N,148553,1,151195,40310,0.9584,151195,N,N,1,N,N,1,0,0,0,43189.81591
0,807249,0,0,6,N,18,7978,N,140522,1,142209,40736,0.9184,142209,N,N,1,1,1,2,1,1,1,43443.85775
0,539582,0,5,14,N,29,15350,N,85853,5,121747,39993,0.4706,121747,N,N,8,N,N,5,0,0,0,43339.90843
1,-9999,0,1,9,1,21,74180,N,702217,3,665007,37944,0.9705,665007,N,N,4,2,N,7,2,2,0,43281.28179
0,10550,0,0,1,/,1,3268,N,4417,0,4413,40081,0.8834,4413,N,N,0,N,N,0,0,0,0,43227.35481
0,1945943,0,0,9,1,12,70734,N,511342,1,544395,38888,0.416,544395,N,N,1,N,N,5,1,0,0,43340.83294
0,104000,0,1,2,N,5,0,N,2477,1,1817,38151,0.033,1817,N,*,1,N,N,0,0,0,0,43162.86785
0,188000,0,1,10,N,30,78216,N,611471,2,575873,39196,0.897,575873,N,N,2,N,N,4,0,0,0,43313.52264
0,63334,0,5,8,N,20,31727,N,323569,5,332240,38703,0.7456,332240,N,N,5,N,N,0,0,0,0,43317.49958
0,503579,0,0,5,N,7,21629,N,27453,0,37888,38705,0.1102,37888,N,N,0,N,N,0,0,0,0,43172.6598
0,443015,0,0,8,N,27,43116,N,416053,3,449826,37776,0.6612,449826,N,N,3,N,N,0,0,0,0,43172.37125
0,131360,0,2,5,1,7,5780,N,44023,3,46213,37726,0.9367,46213,N,N,3,N,N,7,1,0,0,43288.41391
0,500,0,1,1,/,1,0,*,0,2,0,43383,0,0,/,*,2,/,/,0,0,0,0,43495.01559
0,53337,0,2,3,N,4,7368,N,52795,3,69277,40684,0.6683,69277,N,N,3,N,N,2,0,0,0,43174.44963
1,2188516,0,0,2,*,2,3988,N,52076,0,46397,39415,0.8679,46397,N,N,0,N,N,0,0,0,0,43230.415
0,5343311,0,2,10,C,36,46085,N,228539,2,155542,39163,0.2926,155542,N,N,3,N,N,4,0,0,0,43212.82833
1,8843,0,1,2,*,12,3436,N,26462,2,34975,40241,0.4897,34975,N,N,3,N,N,2,0,0,0,43261.00333
0,2582622,0,1,6,N,12,25540,N,211999,1,201652,40968,0.9067,201652,N,N,1,N,N,0,0,0,0,43169.67772
0,20000,0,0,3,N,4,7457,N,50184,0,51060,41045,0.8227,51060,N,N,0,N,N,5,0,0,0,43241.00146
1,-9999,0,4,2,*,2,0,*,33,4,0,42047,0.0066,0,N,N,5,*,*,0,0,0,0,43210.72566
0,3824,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,43333.04043
0,53000,0,1,9,N,19,19961,N,155777,2,147116,39762,0.5979,147116,N,N,2,N,N,2,0,0,0,43494.75883
1,10000,0,2,7,N,17,2632,N,24209,2,28171,38975,0.712,28171,1,1,2,1,N,4,1,1,1,43218.41461
1,10176,0,1,4,N,7,9566,N,150539,2,155253,41599,0.8247,155253,N,N,3,N,N,0,0,0,0,43230.03251
0,338862,0,1,8,N,21,17425,N,162372,1,150244,40995,0.9507,150244,N,N,2,N,N,0,0,0,0,43245.00093
0,78195,0,3,10,N,31,22447,N,197090,3,200597,41156,0.8854,200597,N,N,3,N,N,0,0,0,0,43162.68589
0,488211,0,0,4,*,7,0,*,0,0,0,39352,0,0,*,*,0,*,*,0,0,0,0,43497.42567
0,90000,0,3,7,N,22,27731,N,275999,4,248945,39549,0.9221,248945,N,N,4,N,N,1,0,0,0,43192.79487
0,-9999,0,4,9,C,14,7889,N,57804,5,65240,40095,0.1647,65240,N,N,5,N,N,7,0,0,0,43299.64826
1,-9999,0,0,8,N,11,9045,N,116330,0,142268,39715,0.856,142268,N,N,0,N,N,7,0,0,0,43319.73252
0,25992,0,1,8,N,13,16937,N,144025,4,145808,40533,1.0215,145808,N,1,5,N,1,5,1,1,1,43333.0052
1,713,0,0,8,N,10,12724,N,98052,0,103119,39232,0.8914,103119,N,N,0,1,1,2,1,1,1,43193.64422
0,-9999,0,0,1,N,2,1178,N,13758,0,18365,41453,0.3057,18365,N,N,0,N,N,0,0,0,0,43451.82491
0,-9999,0,0,2,1,2,4989,N,8395,0,12035,41850,0.4664,12035,N,N,0,1,N,6,1,1,0,43372.00873
0,0,0,3,13,1,30,10817,N,90833,5,117250,40611,0.3634,117250,N,N,5,1,N,4,1,1,0,43351.58876
0,2400,0,0,1,*,1,0,*,0,0,0,41864,0,0,*,*,0,*,*,1,0,0,0,43224.12818
0,6150,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,43174.43661
0,53667,0,0,1,*,1,0,*,0,0,0,41909,0,0,*,*,0,*,*,0,0,0,0,43415.99266
0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,43366.47086
0,18144,0,1,1,*,2,0,*,0,1,0,42739,-9999,0,*,*,1,*,*,0,0,0,0,43357.42146
0,-9999,163,0,2,N,2,163,1,5530,0,14073,39995,0.2212,14073,N,N,0,N,N,1,1,1,1,43404.42263
0,112530,0,4,9,1,25,19407,N,107581,4,109599,38854,0.5839,109599,N,N,5,1,N,5,1,1,0,43177.07485
1,140222,0,0,6,N,11,18596,N,92286,1,89748,39332,0.511,89748,N,N,1,N,N,0,0,0,0,43180.60204
0,15295,0,0,2,1,2,696,N,13389,0,13422,41067,0.7876,13422,N,N,0,N,N,7,1,0,0,43290.44315
0,9410,0,0,4,*,6,0,*,0,0,0,40240,0,0,*,*,0,*,*,3,0,0,0,43225.46792
0,165501,0,5,8,N,9,20489,N,166901,6,180489,39161,0.5279,180489,N,N,7,N,N,7,0,0,0,43369.41814
0,945434,0,0,3,N,15,10137,N,25147,1,58396,39615,0.2032,58396,N,N,1,N,N,6,0,0,0,43406.09471
0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,43496.62115
0,104687,0,0,4,N,6,3026,N,29676,0,29765,39979,0.8806,29765,N,N,0,N,1,1,1,1,1,43214.39398
0,150291,0,0,1,N,1,148,N,3303,0,4327,42696,0.071,4327,N,N,0,N,N,0,0,0,0,43408.53942
0,13516,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,43339.9462
0,-9999,0,4,2,/,5,0,N,2609,3,2609,43317,0.2485,2609,/,/,4,/,/,0,0,0,0,43394.81154
0,191597,0,1,6,N,12,11541,N,146671,1,147882,39024,0.759,147882,N,N,1,N,N,7,0,0,0,43310.50537
0,-9999,0,1,8,N,12,28285,N,245374,1,294300,40005,0.9197,294300,N,N,1,1,1,3,1,1,1,43171.48564
0,0,0,1,5,N,10,6589,N,61581,1,105940,38827,0.2223,105940,N,N,1,N,N,3,0,0,0,43179.42171
0,30000,0,2,5,N,6,15482,N,50404,2,113487,40084,0.2488,113487,N,N,3,N,N,0,0,0,0,43166.39394
0,10800,0,0,2,N,2,2482,N,23561,0,24297,41061,0.9688,24297,N,N,0,N,N,1,0,0,0,43166.0403
0,20000,0,0,7,N,11,63,N,4740,0,742,39748,0.0748,742,N,N,0,N,N,4,0,0,0,43368.04053
0,-9999,0,3,13,N,20,10097,N,126936,4,137129,41610,0.9022,137129,N,N,7,N,N,0,0,0,0,43184.73109
0,1169,0,0,2,1,3,528,N,7913,0,8044,42166,0.9891,8044,N,N,0,N,1,6,1,1,1,43188.39981
0,5118,0,1,5,N,20,4425,N,52472,3,55552,41687,0.8602,55552,N,N,3,N,N,5,0,0,0,43193.58978
0,-9999,0,0,1,/,1,223,N,2034,1,2931,43282,0.678,2931,N,N,1,/,N,0,0,0,0,43408.52699
0,9834,0,0,1,N,2,375,N,1942,0,2425,42304,0.6473,2425,N,N,0,N,N,0,0,0,0,43173.26184
0,-9999,0,3,1,N,2,55,N,595,3,439,42719,0.0496,439,N,N,3,N,N,0,0,0,0,43420.01826
0,30000,0,1,3,N,7,168,N,2818,1,11330,40751,0.0274,11330,N,N,2,N,N,0,0,0,0,43194.20352
0,65500,0,9,6,N,11,1432,N,10940,9,22921,39614,0.0823,22921,N,N,9,1,N,1,1,1,0,43182.56269
0,1894914,0,0,7,1,23,6517,N,87221,1,84659,39679,0.2674,84659,N,N,1,1,N,5,1,1,0,43240.01618
0,205731,0,5,5,N,13,4254,N,44613,5,33909,39430,0.3705,33909,N,N,5,N,N,0,0,0,0,43211.78968
0,0,0,0,4,N,15,1731,N,14223,0,16579,41118,0.4183,16579,N,N,0,N,N,4,0,0,0,43261.66293
0,11684,0,5,4,*,21,200,N,2616,6,7000,42614,0.218,7000,N,N,6,N,N,0,0,0,0,43301.37328
0,1774,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,43362.4591
0,1557,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,43367.39691
0,358,0,2,4,1,8,4047,N,46750,2,48386,40807,0.9239,48386,N,N,3,N,N,1,1,0,0,43221.63089
0,-9999,0,7,4,*,5,2499,N,25281,9,25563,41731,0.911,25563,*,N,10,*,*,2,0,0,0,43302.33944
0,-9999,0,2,7,1,8,3115,N,23784,5,34317,41114,0.2811,34317,N,N,5,N,N,6,1,0,0,43182.16602
0,16517,0,0,2,N,3,1431,N,22672,0,26134,40085,0.7409,26134,N,N,0,N,N,1,0,0,0,43254.04263
0,41224,0,1,4,N,5,2548,N,34078,1,34429,40218,0.9063,34429,N,N,1,N,N,1,0,0,0,43180.55273
1,-9999,0,0,1,*,1,0,*,0,1,0,40129,0,0,*,*,1,*,*,0,0,0,0,43168.76174
0,-9999,0,14,4,*,6,3716,N,26924,10,42851,39780,0.4986,42851,*,N,15,*,*,6,0,0,0,43193.6835
0,11928,0,1,9,N,12,3868,N,46962,4,56768,39955,0.7115,56768,N,N,4,N,N,4,0,0,0,43247.00394
0,24575,0,2,2,*,21,14044,N,15053,2,15115,42903,0.9483,15115,N,N,2,N,N,0,0,0,0,43285.45049
0,2807,0,7,2,/,3,199,N,3483,6,4703,43003,0.2679,4703,N,N,11,*,N,0,0,0,0,43326.6499
0,33000,0,6,9,N,11,17734,N,38181,9,46725,39412,0.2203,46725,N,N,15,N,N,1,0,0,0,43168.67162
0,-9999,0,0,1,/,1,471,N,459,1,856,43228,0.0918,856,N,N,1,/,*,0,0,0,0,43363.47138
0,67030,0,2,9,1,18,6648,N,64338,4,64286,41726,0.6,64286,1,N,4,N,1,3,1,1,1,43061.8522
0,370060,0,1,1,1,3,3729,N,3758,1,242,41631,0.3758,242,N,N,1,N,N,3,1,0,0,43350.47613
1,39958,0,0,4,N,5,11605,N,194364,2,206715,40708,1.1107,206715,N,N,2,N,N,1,0,0,0,43214.53536
0,52089,0,0,6,N,8,2586,N,34167,1,38934,40309,0.8116,38934,N,N,1,N,N,0,0,0,0,43178.74148
0,129108,0,3,12,N,17,8092,N,104689,4,114445,39547,0.3991,114445,N,N,5,N,N,4,0,0,0,43225.36598
0,711623,0,0,7,N,8,1533,N,12389,0,17075,40847,0.1951,17075,N,N,0,N,N,0,0,0,0,43230.36552
1,-9999,0,3,6,*,8,6559,N,36803,7,37668,40243,0.5213,37668,N,1,9,*,N,6,1,1,1,43213.40524
0,34722,0,0,9,1,22,5162,N,94156,3,92923,40479,0.5305,92923,N,N,3,N,1,4,1,1,1,43182.4237
1,585095,0,0,3,N,3,2452,N,29239,0,29227,41232,0.9555,29227,N,N,0,N,N,0,0,0,0,43178.56095
0,1404171,0,1,4,N,5,2446,N,40019,1,48757,41701,0.5589,48757,N,N,1,N,N,0,0,0,0,43471.74633
0,40000,0,0,3,N,5,8178,N,52495,0,80444,41746,0.4022,80444,N,N,0,N,N,1,0,0,0,43175.08019
1,818,0,0,1,*,1,0,*,0,0,0,42791,0,0,*,*,0,*,*,0,0,0,0,43218.65887
1,-9999,0,1,2,*,2,0,*,0,1,0,39769,0,0,*,*,1,*,*,6,0,0,0,43170.0742
0,154104,0,0,3,N,3,2260,N,33346,0,37133,40952,0.9012,37133,N,N,0,N,N,0,0,0,0,43224.23801
0,6050,0,0,3,N,3,202,N,3082,0,81,40609,0.1572,81,N,1,0,N,1,3,1,1,1,43258.05375
0,-9999,0,0,9,N,20,37014,N,352050,0,341141,39582,0.9163,341141,N,N,0,N,N,0,0,0,0,43161.35716
0,-9999,0,0,2,N,3,0,*,0,0,0,39784,0,0,*,*,0,*,*,0,0,0,0,43450.79499
